,findSigExposures,best_columns,Cancer Types,Sample Names
0,0.09225632381957338,0,SP95550,Uterus-AdenoCA
1,0.06378976023550624,1,SP95550,Uterus-AdenoCA
2,0.15823593624085433,4,SP95550,Uterus-AdenoCA
3,0.09922934429738443,16,SP95550,Uterus-AdenoCA
4,0.5864886354066815,44,SP95550,Uterus-AdenoCA
5,0.029575436908273495,0,SP90629,Uterus-AdenoCA
6,0.20168352351035723,1,SP90629,Uterus-AdenoCA
7,0.3144378112210749,4,SP90629,Uterus-AdenoCA
8,0.4543032283602944,16,SP90629,Uterus-AdenoCA
9,0.13760548836012307,0,SP89909,Uterus-AdenoCA
10,0.37865218592423777,4,SP89909,Uterus-AdenoCA
11,0.4837423257156392,48,SP89909,Uterus-AdenoCA
12,0.08324150366996527,0,SP91265,Uterus-AdenoCA
13,0.07122919682548486,4,SP91265,Uterus-AdenoCA
14,0.8455292995045499,44,SP91265,Uterus-AdenoCA
15,0.20112134373291116,0,SP92931,Uterus-AdenoCA
16,0.15820193167746682,4,SP92931,Uterus-AdenoCA
17,0.640676724589622,44,SP92931,Uterus-AdenoCA
18,0.1478925079937816,0,SP92460,Uterus-AdenoCA
19,0.16043457518380863,4,SP92460,Uterus-AdenoCA
20,0.260568465634481,44,SP92460,Uterus-AdenoCA
21,0.4311044511879288,48,SP92460,Uterus-AdenoCA
22,0.11111456967589992,0,SP90503,Uterus-AdenoCA
23,0.10068054696593229,1,SP90503,Uterus-AdenoCA
24,0.22475457153830805,4,SP90503,Uterus-AdenoCA
25,0.1745063328509517,16,SP90503,Uterus-AdenoCA
26,0.38894397896890803,44,SP90503,Uterus-AdenoCA
27,0.11578659645774528,0,SP89389,Uterus-AdenoCA
28,0.13987695670901829,1,SP89389,Uterus-AdenoCA
29,0.2010583712332719,4,SP89389,Uterus-AdenoCA
30,0.15728229230995056,16,SP89389,Uterus-AdenoCA
31,0.38599578329001405,44,SP89389,Uterus-AdenoCA
32,0.04657694429184324,0,SP95222,Uterus-AdenoCA
33,0.12751284560393028,1,SP95222,Uterus-AdenoCA
34,0.15409044739483377,4,SP95222,Uterus-AdenoCA
35,0.16246042237815367,16,SP95222,Uterus-AdenoCA
36,0.5093593403312392,44,SP95222,Uterus-AdenoCA
37,0.12530944982669356,0,SP94540,Uterus-AdenoCA
38,0.08677661858647077,4,SP94540,Uterus-AdenoCA
39,0.7879139315868358,44,SP94540,Uterus-AdenoCA
40,0.09026746377852049,0,SP90125,Uterus-AdenoCA
41,0.042289606969139464,1,SP90125,Uterus-AdenoCA
42,0.11050805707174852,4,SP90125,Uterus-AdenoCA
43,0.04955877399977152,16,SP90125,Uterus-AdenoCA
44,0.70737609818082,44,SP90125,Uterus-AdenoCA
45,0.1773794839859734,0,SP93652,Uterus-AdenoCA
46,0.21058331706409825,4,SP93652,Uterus-AdenoCA
47,0.6120371989499285,44,SP93652,Uterus-AdenoCA
48,0.16909393150304933,0,SP94661,Uterus-AdenoCA
49,0.19975341346996264,4,SP94661,Uterus-AdenoCA
50,0.631152655026988,44,SP94661,Uterus-AdenoCA
51,0.05144894777530682,0,SP94332,Uterus-AdenoCA
52,0.6981541793761685,2,SP94332,Uterus-AdenoCA
53,0.20308523789940897,4,SP94332,Uterus-AdenoCA
54,0.026343945349621842,16,SP94332,Uterus-AdenoCA
55,0.02096768959949383,17,SP94332,Uterus-AdenoCA
56,0.014902038489997538,0,SP92659,Uterus-AdenoCA
57,0.05792665778826549,4,SP92659,Uterus-AdenoCA
58,0.610492995501792,12,SP92659,Uterus-AdenoCA
59,0.133080555695443,13,SP92659,Uterus-AdenoCA
60,0.18359775252450206,32,SP92659,Uterus-AdenoCA
61,0.03969030062204779,0,SP94917,Uterus-AdenoCA
62,0.05890871466319363,1,SP94917,Uterus-AdenoCA
63,0.12053187992253639,4,SP94917,Uterus-AdenoCA
64,0.08599195777495648,30,SP94917,Uterus-AdenoCA
65,0.2964338413957683,44,SP94917,Uterus-AdenoCA
66,0.3984433056214975,48,SP94917,Uterus-AdenoCA
67,0.2441896106829894,0,SP89519,Uterus-AdenoCA
68,0.29626695046615664,4,SP89519,Uterus-AdenoCA
69,0.4595434388508541,44,SP89519,Uterus-AdenoCA
70,0.11330294949534767,0,SP90893,Uterus-AdenoCA
71,0.028840476741431545,1,SP90893,Uterus-AdenoCA
72,0.14891840076936722,4,SP90893,Uterus-AdenoCA
73,0.07353149956773626,16,SP90893,Uterus-AdenoCA
74,0.6354066734261172,44,SP90893,Uterus-AdenoCA
75,0.05053392102795735,0,SP90245,Uterus-AdenoCA
76,0.1095612397713319,1,SP90245,Uterus-AdenoCA
77,0.5866858954711619,4,SP90245,Uterus-AdenoCA
78,0.25321894372954895,16,SP90245,Uterus-AdenoCA
79,0.1306590200709106,0,SP91666,Uterus-AdenoCA
80,0.06509452549887097,1,SP91666,Uterus-AdenoCA
81,0.19550724316874787,4,SP91666,Uterus-AdenoCA
82,0.04899758590131799,16,SP91666,Uterus-AdenoCA
83,0.5597416253601527,44,SP91666,Uterus-AdenoCA
84,0.243699860119274,0,SP92947,Uterus-AdenoCA
85,0.2189118680834675,4,SP92947,Uterus-AdenoCA
86,0.5373882717972585,44,SP92947,Uterus-AdenoCA
87,0.07155785365371004,0,SP91730,Uterus-AdenoCA
88,0.048960418152459634,1,SP91730,Uterus-AdenoCA
89,0.14289640196306408,4,SP91730,Uterus-AdenoCA
90,0.10809895477044995,16,SP91730,Uterus-AdenoCA
91,0.6284863714603164,44,SP91730,Uterus-AdenoCA
92,0.07711543380279266,0,SP92332,Uterus-AdenoCA
93,0.19936830532841246,4,SP92332,Uterus-AdenoCA
94,0.723516260868795,44,SP92332,Uterus-AdenoCA
95,0.17104057383284044,0,SP91746,Uterus-AdenoCA
96,0.15816735711614882,4,SP91746,Uterus-AdenoCA
97,0.6707920690510107,44,SP91746,Uterus-AdenoCA
98,0.20136037624284472,0,SP95406,Uterus-AdenoCA
99,0.3376849453880643,4,SP95406,Uterus-AdenoCA
100,0.460954678369091,44,SP95406,Uterus-AdenoCA
101,0.056014854760532994,0,SP92364,Uterus-AdenoCA
102,0.3274132390431235,4,SP92364,Uterus-AdenoCA
103,0.6165719061963435,30,SP92364,Uterus-AdenoCA
104,0.2527422337956884,0,SP92723,Uterus-AdenoCA
105,0.3067969521429745,4,SP92723,Uterus-AdenoCA
106,0.4404608140613371,44,SP92723,Uterus-AdenoCA
107,0.11383426052950221,0,SP92787,Uterus-AdenoCA
108,0.2965781842795876,4,SP92787,Uterus-AdenoCA
109,0.5895875551909102,44,SP92787,Uterus-AdenoCA
110,0.17218653377668242,0,SP94060,Uterus-AdenoCA
111,0.11312460400138033,1,SP94060,Uterus-AdenoCA
112,0.23933808622778802,4,SP94060,Uterus-AdenoCA
113,0.09787933778322962,16,SP94060,Uterus-AdenoCA
114,0.37747143821091966,44,SP94060,Uterus-AdenoCA
115,0.16660855876399577,0,SP89651,Uterus-AdenoCA
116,0.27188452819195297,4,SP89651,Uterus-AdenoCA
117,0.04940296038347352,16,SP89651,Uterus-AdenoCA
118,0.5121039526605777,44,SP89651,Uterus-AdenoCA
119,0.09385342109423433,0,SP89443,Uterus-AdenoCA
120,0.25959421831984153,1,SP89443,Uterus-AdenoCA
121,0.15178907160047403,4,SP89443,Uterus-AdenoCA
122,0.150707927136186,16,SP89443,Uterus-AdenoCA
123,0.34405536184926416,44,SP89443,Uterus-AdenoCA
124,0.11021983178222927,0,SP95646,Uterus-AdenoCA
125,0.16298949816443878,4,SP95646,Uterus-AdenoCA
126,0.051694888292684316,16,SP95646,Uterus-AdenoCA
127,0.6750957817606477,44,SP95646,Uterus-AdenoCA
128,0.0434384216402913,0,SP95126,Uterus-AdenoCA
129,0.13997320989996656,1,SP95126,Uterus-AdenoCA
130,0.4897194281738533,4,SP95126,Uterus-AdenoCA
131,0.3268689402858889,16,SP95126,Uterus-AdenoCA
132,0.036907380682253334,0,SP94933,Uterus-AdenoCA
133,0.53457987724037,4,SP94933,Uterus-AdenoCA
134,0.42851274207737666,30,SP94933,Uterus-AdenoCA
135,0.12242791604367875,0,SP90269,Uterus-AdenoCA
136,0.3648045161067158,4,SP90269,Uterus-AdenoCA
137,0.5127675678496055,44,SP90269,Uterus-AdenoCA
138,0.08063317772149257,0,SP89687,Uterus-AdenoCA
139,0.07967934836178173,1,SP89687,Uterus-AdenoCA
140,0.14775225033855832,4,SP89687,Uterus-AdenoCA
141,0.12309903367859068,16,SP89687,Uterus-AdenoCA
142,0.5688361898995767,44,SP89687,Uterus-AdenoCA
143,0.20884103668181359,0,SP92707,Uterus-AdenoCA
144,0.06432012307379145,4,SP92707,Uterus-AdenoCA
145,0.7268388402443949,44,SP92707,Uterus-AdenoCA
146,0.2737320719842411,0,SP92268,Uterus-AdenoCA
147,0.17138805999008352,4,SP92268,Uterus-AdenoCA
148,0.5548798680256755,44,SP92268,Uterus-AdenoCA
149,0.16506438143600308,0,SP89957,Uterus-AdenoCA
150,0.26035168149750354,4,SP89957,Uterus-AdenoCA
151,0.5745839370664934,44,SP89957,Uterus-AdenoCA
152,0.11066289387919673,0,SP92195,Uterus-AdenoCA
153,0.25751733615863287,4,SP92195,Uterus-AdenoCA
154,0.6318197699621704,44,SP92195,Uterus-AdenoCA
155,0.14336156565800734,0,SP93772,Uterus-AdenoCA
156,0.22830196768200423,4,SP93772,Uterus-AdenoCA
157,0.6283364666599884,44,SP93772,Uterus-AdenoCA
158,0.02143760907603371,0,SP94236,Uterus-AdenoCA
159,0.37975653467333237,1,SP94236,Uterus-AdenoCA
160,0.09245592816633592,4,SP94236,Uterus-AdenoCA
161,0.506349928084298,16,SP94236,Uterus-AdenoCA
162,0.20061534900197217,0,SP90725,Uterus-AdenoCA
163,0.22299503847649005,4,SP90725,Uterus-AdenoCA
164,0.5763896125215379,44,SP90725,Uterus-AdenoCA
165,0.10405250362950068,0,SP94588,Uterus-AdenoCA
166,0.0710564126253463,1,SP94588,Uterus-AdenoCA
167,0.2935079872749764,4,SP94588,Uterus-AdenoCA
168,0.10852282242818315,16,SP94588,Uterus-AdenoCA
169,0.42286027404199344,44,SP94588,Uterus-AdenoCA
170,0.18778601167066863,0,SP94348,Uterus-AdenoCA
171,0.32114835015203924,4,SP94348,Uterus-AdenoCA
172,0.49106563817729215,48,SP94348,Uterus-AdenoCA
173,0.14690095948555124,4,SP93227,Uterus-AdenoCA
174,0.2824204651092348,5,SP93227,Uterus-AdenoCA
175,0.38022499630353784,17,SP93227,Uterus-AdenoCA
176,0.19045357910167618,48,SP93227,Uterus-AdenoCA
177,0.13546364358413815,0,SP93540,Uterus-AdenoCA
178,0.34232442153522974,4,SP93540,Uterus-AdenoCA
179,0.5222119348806322,48,SP93540,Uterus-AdenoCA
180,0.16912767605702653,0,SP90989,Uterus-AdenoCA
181,0.2506685798263289,4,SP90989,Uterus-AdenoCA
182,0.19964562700540625,30,SP90989,Uterus-AdenoCA
183,0.3805581171112383,48,SP90989,Uterus-AdenoCA
184,0.27662935080570716,4,SP90209,Uterus-AdenoCA
185,0.3404192331296282,5,SP90209,Uterus-AdenoCA
186,0.3829514160646647,18,SP90209,Uterus-AdenoCA
187,0.1166488041781569,0,SP94741,Uterus-AdenoCA
188,0.32745061462103336,4,SP94741,Uterus-AdenoCA
189,0.5559005812008098,48,SP94741,Uterus-AdenoCA
190,0.14240750605721725,0,SP95454,Uterus-AdenoCA
191,0.3162077687586378,4,SP95454,Uterus-AdenoCA
192,0.541384725184145,48,SP95454,Uterus-AdenoCA
193,0.14065604306447282,0,SP85647,Thy-AdenoCA
194,0.3573547303795059,4,SP85647,Thy-AdenoCA
195,0.5019892265560214,44,SP85647,Thy-AdenoCA
196,0.09665489524978817,0,SP85737,Thy-AdenoCA
197,0.034089584428923826,1,SP85737,Thy-AdenoCA
198,0.3655305781224976,4,SP85737,Thy-AdenoCA
199,0.03337439238276399,16,SP85737,Thy-AdenoCA
200,0.47035054981602636,44,SP85737,Thy-AdenoCA
201,0.12614283169014406,0,SP85733,Thy-AdenoCA
202,0.4458843388634268,4,SP85733,Thy-AdenoCA
203,0.42797282944642906,44,SP85733,Thy-AdenoCA
204,0.09954698351231558,0,SP88757,Thy-AdenoCA
205,0.4414743302597516,4,SP88757,Thy-AdenoCA
206,0.45897868622793275,44,SP88757,Thy-AdenoCA
207,0.12291612996883881,0,SP86989,Thy-AdenoCA
208,0.41793487128331563,4,SP86989,Thy-AdenoCA
